Id,FIPS,County_State,Total,White,Black,AmInd_Alaska,Asian,PacIsl
0500000US44009,44009,"Washington County, Rhode Island",127008,118968,1772,778,2305,0
0500000US45003,45003,"Aiken County, South Carolina",160565,112674,40631,285,1392,67
0500000US45007,45007,"Anderson County, South Carolina",187269,150930,30958,86,1122,0
0500000US45013,45013,"Beaufort County, South Carolina",162989,118409,31587,490,1617,0
0500000US45015,45015,"Berkeley County, South Carolina",178783,119572,45345,1197,3657,0
0500000US45019,45019,"Charleston County, South Carolina",351482,229639,104223,106,2592,265
0500000US45035,45035,"Dorchester County, South Carolina",137476,93894,35133,1030,2179,0
0500000US45041,45041,"Florence County, South Carolina",137088,74552,58357,147,1479,0
0500000US45045,45045,"Greenville County, South Carolina",452859,345916,81090,1105,8595,157
0500000US45047,45047,"Greenwood County, South Carolina",69703,43999,21613,13,787,0
0500000US45051,45051,"Horry County, South Carolina",270430,215157,36156,603,3294,422
0500000US45057,45057,"Lancaster County, South Carolina",76889,56467,18689,90,432,0
0500000US45063,45063,"Lexington County, South Carolina",263406,214676,37528,461,3138,0
0500000US45075,45075,"Orangeburg County, South Carolina",92346,32557,58541,638,236,0
0500000US45077,45077,"Pickens County, South Carolina",119217,106009,6962,458,2407,84
0500000US45079,45079,"Richland County, South Carolina",385745,184914,177286,406,8458,498
0500000US45083,45083,"Spartanburg County, South Carolina",284713,210598,57551,422,6005,79
0500000US45085,45085,"Sumter County, South Carolina",107570,52813,51535,183,1269,0
0500000US45091,45091,"York County, South Carolina",226971,173761,42135,1605,2372,70
0500000US46099,46099,"Minnehaha County, South Dakota",169987,150585,6809,4459,2625,0
0500000US46103,46103,"Pennington County, South Dakota",101348,84830,1321,8797,517,0
0500000US47001,47001,"Anderson County, Tennessee",75160,69225,4018,87,964,0
0500000US47009,47009,"Blount County, Tennessee",123119,114475,4815,244,905,0
0500000US47011,47011,"Bradley County, Tennessee",99078,91729,4616,212,855,453
0500000US47037,47037,"Davidson County, Tennessee",628133,392542,173659,1271,17920,0
0500000US47065,47065,"Hamilton County, Tennessee",337294,251263,68494,911,6309,0
0500000US47093,47093,"Knox County, Tennessee",433108,373532,40151,694,8514,375
0500000US47113,47113,"Madison County, Tennessee",98395,58854,36073,848,559,290
0500000US47125,47125,"Montgomery County, Tennessee",173307,126003,32627,1593,3859,304
0500000US47147,47147,"Robertson County, Tennessee",66469,59603,5319,185,135,0
0500000US47149,47149,"Rutherford County, Tennessee",263740,212422,34796,1645,8434,87
0500000US47157,47157,"Shelby County, Tennessee",929030,381354,484851,2423,22224,44
0500000US47163,47163,"Sullivan County, Tennessee",156794,148399,3144,548,299,0
0500000US47165,47165,"Sumner County, Tennessee",161250,144830,10177,883,1578,0
0500000US47179,47179,"Washington County, Tennessee",123338,114662,5006,143,1239,0
0500000US47187,47187,"Williamson County, Tennessee",184035,165531,7611,245,5668,37
0500000US47189,47189,"Wilson County, Tennessee",114537,102848,7819,0,1419,241
0500000US48005,48005,"Angelina County, Texas",86953,67792,12887,581,423,0
0500000US48021,48021,"Bastrop County, Texas",74403,60959,6723,911,438,0
0500000US48027,48027,"Bell County, Texas",313000,209576,66073,1373,9371,1755
0500000US48029,48029,"Bexar County, Texas",1723780,1304020,124405,16078,40365,2374
0500000US48037,48037,"Bowie County, Texas",92723,62921,25738,611,408,416
0500000US48039,48039,"Brazoria County, Texas",314494,238226,38410,994,17972,53
