FIPS,Geography,Total,White,Black,AmInd_Alaska,Asian,PacIsl
18127,"Porter County, Indiana",167688,152922,5128,176,2468,449
18141,"St. Joseph County, Indiana",268441,213013,33037,530,6324,233
18157,"Tippecanoe County, Indiana",185826,154369,8833,349,14279,0
18163,"Vanderburgh County, Indiana",181877,155669,17396,116,2393,0
18167,"Vigo County, Indiana",107896,94375,5434,343,1992,0
18177,"Wayne County, Indiana",67001,59770,2711,608,536,0
19013,"Black Hawk County, Iowa",133455,110880,12405,320,1902,94
19049,"Dallas County, Iowa",80133,73043,480,109,3394,0
19061,"Dubuque County, Iowa",97125,89826,3407,117,1188,670
19103,"Johnson County, Iowa",144251,119451,9534,260,8666,406
19113,"Linn County, Iowa",219916,195934,9147,654,4014,40
19153,"Polk County, Iowa",467711,398389,30172,2493,18941,884
19155,"Pottawattamie County, Iowa",93671,86781,1859,375,894,0
19163,"Scott County, Iowa",172126,147701,12590,274,4612,29
19169,"Story County, Iowa",96021,83870,786,718,8455,0
19193,"Woodbury County, Iowa",102782,88153,3403,1672,3110,289
20015,"Butler County, Kansas",66741,62212,2261,348,113,0
20045,"Douglas County, Kansas",118053,98451,5503,3556,5229,0
20091,"Johnson County, Kansas",580159,501387,26579,1592,27766,546
20103,"Leavenworth County, Kansas",79315,66506,6982,363,1125,0
20161,"Riley County, Kansas",75247,61467,4177,419,3611,515
20173,"Sedgwick County, Kansas",511574,406029,49124,6266,25284,274
20177,"Shawnee County, Kansas",178725,149126,13740,1845,2616,329
20209,"Wyandotte County, Kansas",163369,99979,37847,669,6641,23
21015,"Boone County, Kentucky",127712,116438,3752,57,3735,0
21037,"Campbell County, Kentucky",92066,85371,3051,15,936,0
21047,"Christian County, Kentucky",73309,53061,15737,635,815,571
21059,"Daviess County, Kentucky",99259,89207,4412,316,1122,0
21067,"Fayette County, Kentucky",314488,238806,45159,679,11090,85
21093,"Hardin County, Kentucky",106439,85308,12431,105,2255,802
21111,"Jefferson County, Kentucky",763623,555775,159549,1715,19423,424
21117,"Kenton County, Kentucky",165012,148559,8177,56,2392,57
21145,"McCracken County, Kentucky",65018,55005,7821,155,417,0
21151,"Madison County, Kentucky",87824,80705,3513,395,716,21
21227,"Warren County, Kentucky",122851,99712,11579,212,4427,197
22005,"Ascension Parish, Louisiana",119455,87520,22626,94,794,0
22015,"Bossier Parish, Louisiana",125175,90713,27268,634,2263,0
22017,"Caddo Parish, Louisiana",251460,118429,122475,631,3419,67
22019,"Calcasieu Parish, Louisiana",198788,139369,49583,699,2868,80
22033,"East Baton Rouge Parish, Louisiana",446753,212567,202021,436,15637,187
22045,"Iberia Parish, Louisiana",74103,45514,22322,0,2467,0
22051,"Jefferson Parish, Louisiana",436275,278251,114760,1134,18491,50
22055,"Lafayette Parish, Louisiana",240098,167409,61935,614,4746,0
22057,"Lafourche Parish, Louisiana",98325,77902,13311,2285,748,0
22071,"Orleans Parish, Louisiana",389617,134004,230722,828,12136,120
22073,"Ouachita Parish, Louisiana",156761,93525,59284,309,1452,0
22079,"Rapides Parish, Louisiana",132141,84401,44107,748,578,0
22097,"St. Landry Parish, Louisiana",83848,46055,35377,0,142,0
22103,"St. Tammany Parish, Louisiana",250088,209032,29731,813,4106,0
22105,"Tangipahoa Parish, Louisiana",128755,86895,38061,181,1133,0
22109,"Terrebonne Parish, Louisiana",113972,81387,21449,6078,1385,142
23001,"Androscoggin County, Maine",107233,98649,1245,36,937,0
23003,"Aroostook County, Maine",68628,65371,594,1303,409,12
23005,"Cumberland County, Maine",289977,267044,7510,574,5844,0
23011,"Kennebec County, Maine",119980,115200,1108,1020,1116,133
23019,"Penobscot County, Maine",152692,145093,1225,1392,1482,105
23031,"York County, Maine",201169,192849,1464,516,2299,59
24001,"Allegany County, Maryland",72528,63861,5766,48,711,58
24003,"Anne Arundel County, Maryland",564195,421578,92880,1113,22534,487
24005,"Baltimore County, Maryland",831128,519527,230467,2595,50936,407
24009,"Calvert County, Maryland",90595,74404,10782,0,1480,0
24013,"Carroll County, Maryland",167627,154496,5898,332,3071,2
24015,"Cecil County, Maryland",102382,90516,7066,30,1574,122
24017,"Charles County, Maryland",156118,71819,66380,707,5477,0
24021,"Frederick County, Maryland",245322,198982,22079,470,11222,267
24025,"Harford County, Maryland",250290,199018,35009,570,7398,0
24027,"Howard County, Maryland",313414,183413,56464,683,55194,70
24031,"Montgomery County, Maryland",1040116,564151,186896,3420,156974,429
24033,"Prince George's County, Maryland",909535,154895,569476,3278,39726,416
24037,"St. Mary's County, Maryland",111413,88245,16000,32,3584,0
24043,"Washington County, Maryland",149585,123543,15442,178,2642,27
24045,"Wicomico County, Maryland",102370,69912,24470,355,3373,0
24510,"Baltimore city, Maryland",621849,193032,382922,952,16894,381
25001,"Barnstable County, Massachusetts",214333,198849,5652,726,3412,0
25003,"Berkshire County, Massachusetts",127828,116652,3826,309,2234,100
25005,"Bristol County, Massachusetts",556772,475548,20828,143,12099,305
25009,"Essex County, Massachusetts",776043,620715,28941,2033,28994,85
25011,"Franklin County, Massachusetts",70601,66070,1954,326,321,0
25013,"Hampden County, Massachusetts",470690,382969,40091,1319,10252,75
25015,"Hampshire County, Massachusetts",161292,142184,4459,536,8763,0
25017,"Middlesex County, Massachusetts",1585139,1239864,80531,1938,177513,494
25021,"Norfolk County, Massachusetts",696023,551206,46734,330,72767,33
